实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
Luisa de Fatima Giovetty,个人,US-GLOMAG,制裁,别名: Luisa de Fatima Geovetty,ao,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34137,us_ofac_sdn,2026-06-19
ARTEMIS OFFSHORE,船只,US-RUSHAR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=31932,us_ofac_sdn,2026-06-19
KOREA RUNGRADO SHIPPING CO,组织,US-NK,制裁,,kp,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23154,us_ofac_sdn,2026-06-19
Limited Liability Company Rustmash,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=44092,us_ofac_sdn,2026-06-19
Zvezda 047,船只,US-RUSHAR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=49324,us_ofac_sdn,2026-06-19
Антигобалистское Движение России,组织,US-RUSHAR,制裁,"别名: РОО Антиглобалистское Движение; Antiglobalistskoe Dvizhenie, OD; Antiglobalization Movement of Russia",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=36137,us_ofac_sdn,2026-06-19
Manufacturing Company LTD Lema,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=48510,us_ofac_sdn,2026-06-19
SEPID SHIPPING COMPANY LIMITED,组织,US-IRAN,制裁,,mt,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15138,us_ofac_sdn,2026-06-19
ELEHSSAN,组织,US-TERR,制裁,别名: AL-BIRR WA AL-IHSAN WA AL-NAQA; BIRR AND ELEHSSAN SOCIETY; THE BENEVOLENT CHARITABLE ORGANIZATION,lb; ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9333,us_ofac_sdn,2026-06-19
POLA MARINA,船只,US-RUSHAR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=41141,us_ofac_sdn,2026-06-19
"CONSULTORIAS PROFESIONALES ALMIDA, S.A. DE C.V.",组织,US-NARCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=54358,us_ofac_sdn,2026-06-19
3d.ru,组织,US-RUSHAR,制裁,别名: zd.ru,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47525,us_ofac_sdn,2026-06-19
Esmail HAMIDI,个人,US-IRAN,制裁,,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=29808,us_ofac_sdn,2026-06-19
Miramonte Investments Limited,组织,US-RUSHAR,制裁,,cy,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=41504,us_ofac_sdn,2026-06-19
Miguel Antonio Jose PONENTE PARRA,个人,US-VEN,制裁,,ve,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=29666,us_ofac_sdn,2026-06-19
Husayn TAJIDEEN,个人,US-TERR,制裁,别名: Husayn TAJ AL DIN; Hajj Hussein TAJIDINE; Hussein TAJIDEEN,gm,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12451,us_ofac_sdn,2026-06-19
Shahid Shustari Industries,组织,US-IRAN,制裁,别名: Shahid Shoushtari; Shahid Shoshtari Industries; Shahid Shushtari Industries,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23433,us_ofac_sdn,2026-06-19
كابتن ىاينستي للملاحة ش.ذ.م.م,组织,US-IRAN,制裁,别名: CAPTAIN DYNASTY SHIPPING LLC - UAE; Captain Dynasty Shipping,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=54793,us_ofac_sdn,2026-06-19
Eduardo GONZALEZ QUIRARTE,个人,US-NARCO,制裁,别名: Hector Manuel ORELLANA ERAZO; Gabriel GOMEZ CHAVEZ; Gregorio GONZALEZ LOPEZ,mx; us,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=7221,us_ofac_sdn,2026-06-19
APAMA,船只,US-IRAN,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15040,us_ofac_sdn,2026-06-19
GORDITAS CHIWAS,组织,US-NARCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=57121,us_ofac_sdn,2026-06-19
desert pulse trading fze,组织,US-IRAN,制裁,别名: Siwan Trading International FZE,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=56793,us_ofac_sdn,2026-06-19
Car Care Center,组织,US-TERR,制裁,别名: Car Care Center Company; Car Care Center CCC,lb,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18222,us_ofac_sdn,2026-06-19
Limited Liability Company Taymyrskie Resursy,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=44999,us_ofac_sdn,2026-06-19
OOO REALEKSPORT,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=46504,us_ofac_sdn,2026-06-19
Laurin Katz,个人,US-RUSHAR,制裁,,ch,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=38040,us_ofac_sdn,2026-06-19
RUSSIAN UNIVERSAL BANK,组织,US-RUSHAR,制裁,别名: Rusuniversalbank,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=51656,us_ofac_sdn,2026-06-19
Murad Fathi,个人,US-IRAN,制裁,,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=39676,us_ofac_sdn,2026-06-19
"CONSTRUCTORA GERLIFE, S.A. DE C.V.",组织,US-TCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=54715,us_ofac_sdn,2026-06-19
Matriks Elektronika,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=42000,us_ofac_sdn,2026-06-19
Muhammad Naeem Sheikh,个人,US-TERR,制裁,别名: Mohammad Nayeem Sheikh; Muhammad Naeem,pk,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17270,us_ofac_sdn,2026-06-19
Korea United Development Bank,组织,US-NK,制裁,,kp,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19509,us_ofac_sdn,2026-06-19
Yousef Ali Muraj,个人,US-IRAN,制裁,别名: Yusef Ali Meraj; Yusuf Ali Miraj,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30628,us_ofac_sdn,2026-06-19
NOOR ENERGY (MALAYSIA) LTD.,组织,US-IRAN,制裁,,my,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15162,us_ofac_sdn,2026-06-19
"ETCO INTERNATIONAL COMPANY, LIMITED",组织,US-CUBA,制裁,,jp,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=768,us_ofac_sdn,2026-06-19
SHANDONG INDEPENDENT ENERGY TRADING DMCC,组织,US-IRAN,制裁,,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=56396,us_ofac_sdn,2026-06-19
YV3033,Airplane,US-VEN,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28426,us_ofac_sdn,2026-06-19
Joint Stock Company State Research Institute of Instrument Engineering,组织,US-RUSHAR,制裁,别名: AO GOSNIIP; Aktsionernoe Obshchestvo Gosudarstvennyi Nauchno Issledovatelskii Institut Priborostroeniia,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47283,us_ofac_sdn,2026-06-19
Jose Maria NEGRETE LUNA,个人,US-NARCO,制裁,,co,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11895,us_ofac_sdn,2026-06-19
LPG OM,船只,US-TERR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50103,us_ofac_sdn,2026-06-19
Специализированный Застройщик Кутузовский 16 Общество С Ограниченной Ответственностью,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=46033,us_ofac_sdn,2026-06-19
EP-ICE,Airplane,US-IRAN,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25556,us_ofac_sdn,2026-06-19
孝志 池田,个人,US-TCO,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20383,us_ofac_sdn,2026-06-19
Dimitra II,船只,US-IRAN,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=51052,us_ofac_sdn,2026-06-19
"GOODWILL CHARITABLE ORGANIZATION, INC.",组织,US-TERR,制裁,,us,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10413,us_ofac_sdn,2026-06-19
GOLBON,船只,US-IRAN,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25353,us_ofac_sdn,2026-06-19
AKTSIONERNOE OBSHCHESTVO TAMBOVSKII ZAVOD OKTYABR,组织,US-RUSHAR,制裁,别名: JSC Tambov Plant October; Tambov Plant Oktyabr JSC; AO TZ Oktyabr,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50745,us_ofac_sdn,2026-06-19
ALAYNE INVESTMENTS LIMITED,组织,US-RUSHAR,制裁,,cy,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=42211,us_ofac_sdn,2026-06-19
Maria Aleksandrovna Osetrova,个人,US-RUSHAR,制裁,别名: Mariya Aleksandrovna Osetrova,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=46001,us_ofac_sdn,2026-06-19
GX Shipping FZE,组织,US-IRAN,制裁,,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34080,us_ofac_sdn,2026-06-19
CEC LIMITED,组织,US-NARCO,制裁,"别名: CEC LTD.; CEC PHARMATECH LTD; HANGZHOU HONGYAN TRADING CO., LTD",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16319,us_ofac_sdn,2026-06-19
SO TVERNEFTEPRODUKT OOO,组织,US-UKRRUS-REL,制裁,别名: LIMITED LIABILITY COMPANY MARKETING ASSOCIATION TVERNEFTEPRODUCT; LLC MA TVERNEFTEPRODUCT; Sbytovoe Obyedinenie Tvernefteprodukt,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23570,us_ofac_sdn,2026-06-19
Zuhayr Haydar,个人,US-NON-PROLIF,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20943,us_ofac_sdn,2026-06-19
BANEH,船只,US-IRAN,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15041,us_ofac_sdn,2026-06-19
Oriental Treasure,船只,US-NK,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23766,us_ofac_sdn,2026-06-19
PARS MCS,组织,US-IRAN,制裁,别名: PARS MCS CO.; PARS MCS COMPANY,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16039,us_ofac_sdn,2026-06-19
Sunrise Greenland Sdn. Bhd.,组织,US-TCO,制裁,,my,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=37903,us_ofac_sdn,2026-06-19
SVYATOY KNYAZ VLADIMIR,船只,US-RUSHAR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=51896,us_ofac_sdn,2026-06-19
Muhammad Nasr al-Din al-Ghazlani,个人,US-TERR,制裁,,tr,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33289,us_ofac_sdn,2026-06-19
Ali Muhammad Abu Turab,个人,US-TERR,制裁,别名: Ali Mohammad Noor Mohammad; Abu Ali Torab; Ali Mohammad Abutorab Noor Mohammad,sa; pk,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21387,us_ofac_sdn,2026-06-19
Ricardo Jose Moron Hernandez,个人,US-VEN,制裁,,ve; sk,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=29041,us_ofac_sdn,2026-06-19
EP-CFM,Airplane,US-IRAN,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25519,us_ofac_sdn,2026-06-19
"DISTRIBUIDORA MEDICA HOSPITALARIA, S.A. DE C.V.",组织,US-NARCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13011,us_ofac_sdn,2026-06-19
Muhammad Yusuf Ahmad MANSUR,个人,US-TERR,制裁,别名: Sami Hani SHIHAB; Mohammad Yousef MANSOUR; Mohammad Youssef MANSOUR,lb,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16152,us_ofac_sdn,2026-06-19
IRAN CHARAK,船只,US-NON-PROLIF,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25323,us_ofac_sdn,2026-06-19
Nagham al Hayat Ltd.,组织,US-TERR,制裁,别名: Nagham al Hayat,sy,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27330,us_ofac_sdn,2026-06-19
Акционерное Общество Самарский Металлургический Завод,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47817,us_ofac_sdn,2026-06-19
